vessel,trip_number,set_number,set_id,date,observation,category,start_time,end_time,duration
St. Patrick,3,10,stpatrick_2024-03-08_set_10,3/30/2024,Break during hauling from 01:43pm to 02:28pm,Haul Stop,3/30/2024 13:43:00,3/30/2024 14:28:00,0:45:00
St. Patrick,3,11,stpatrick_2024-03-08_set_11,4/2/2024,Break during hauling from 01:10pm to 02:03pm,Haul Stop,4/2/2024 13:10:00,4/2/2024 14:03:00,0:53:00
St. Patrick,3,11,stpatrick_2024-03-08_set_11,4/2/2024,Break during hauling from 03:40pm to 04:30pm,Haul Stop,4/2/2024 15:40:00,4/2/2024 16:30:00,0:50:00
St. Patrick,3,12,stpatrick_2024-03-08_set_12,4/3/2024,FO not in the logbook,No Elog,,,0:00:00
St. Patrick,3,12,stpatrick_2024-03-08_set_12,4/3/2024,Cameras off during hauling from 12:45pm to 12:50pm (03/04)03/04.,No Video,4/3/2024 12:45:00,4/3/2024 12:50:00,0:05:00
St. Patrick,3,13,stpatrick_2024-03-08_set_13,4/5/2024,Break during hauling from 02:39pm to 03:05pm,Haul Stop,4/5/2024 14:39:00,4/5/2024 15:05:00,0:26:00
Brancol,3,1,brancol_2024-03-05_set_1,3/7/2024,Camera 1 has been moved : too high to see the catch.,Camera Blocked,,,
Brancol,3,2,brancol_2024-03-05_set_2,3/8/2024,12:23pm (08/03) : a member of the crew jumped in the water at the back of the vessel (something knocked in the helix ?),Other,3/8/2024 12:23:00,,
Brancol,3,2,brancol_2024-03-05_set_2,3/8/2024,Break during hauling (01:38pm to 01:55pm for lunch break),Haul Stop,3/8/2024 13:38:00,3/8/2024 13:55:00,0:17:00
Brancol,3,3,brancol_2024-03-05_set_3,3/9/2024,Both cameras have been intentionally hidden for the catch between 01:00pm and 01:06pm) : we can't identify the catch.,Camera Blocked,3/9/2024 13:00:00,3/9/2024 13:06:00,0:06:00
Brancol,3,3,brancol_2024-03-05_set_3,3/9/2024,Break during hauling (01:43pm to 02:16pm for lunch break),Haul Stop,3/9/2024 13:43:00,3/9/2024 14:16:00,0:33:00
Brancol,3,3,brancol_2024-03-05_set_3,3/9/2024,03:28pm (09/03) : a crew member jumped into the water (remove a knot in the helix ?),Other,3/9/2024 15:28:00,,
Brancol,3,4,brancol_2024-03-05_set_4,3/10/2024,Start of the setting not filmed : hour mentioned in the table above is after the real hour of the setting,No Video,,,
Brancol,3,4,brancol_2024-03-05_set_4,3/10/2024,No video for both cameras between 01:09pm and 01:35pm (10/03).,No Video,3/10/2024 13:09:00,3/10/2024 13:35:00,0:26:00
Brancol,3,4,brancol_2024-03-05_set_4,3/10/2024,No video for both cameras between 02:30pm and 02:45pm (10/03).,No Video,3/10/2024 14:30:00,3/10/2024 14:45:00,0:15:00
Brancol,3,5,brancol_2024-03-05_set_5,3/11/2024,Knot in the line between 12:22pm and 01:40pm (11/03),Gear Issue,3/11/2024 12:22:00,3/11/2024 13:40:00,1:18:00
Brancol,3,5,brancol_2024-03-05_set_5,3/11/2024,Cameras off between 03:34pm and 04:15pm (11/03),No Video,3/11/2024 15:34:00,3/11/2024 16:15:00,0:41:00
Brancol,3,6,brancol_2024-03-05_set_6,3/14/2024,Presence of an object in front of camera 2 which may be a problem for some identification : 14/03 from 06:46am to 08:49am.,Other,3/14/2024 6:46:00,3/14/2024 8:49:00,2:03:00
Brancol,3,7,brancol_2024-03-05_set_7,3/15/2024,Cameras off between 11:45am and 11:55am (15/03).,No Video,3/15/2024 11:45:00,3/15/2024 11:55:00,0:10:00
Brancol,3,7,brancol_2024-03-05_set_7,3/15/2024,Lunck break during hauling  15/03 between 02:18pm and 02:38pm.,Haul Stop,3/15/2024 14:18:00,3/15/2024 14:38:00,0:20:00
Brancol,3,8,brancol_2024-03-05_set_8,3/16/2024,Break during hauling : 16/03 from 02:11pm and 02:42pm. ,Haul Stop,3/16/2024 14:11:00,3/16/2024 14:42:00,0:31:00
Brancol,3,9,brancol_2024-03-05_set_9,3/17/2024,Break during hauling : 17/03 between 02:37pm and 03:00pm.,Haul Stop,3/17/2024 14:37:00,3/17/2024 15:00:00,0:23:00
Brancol,3,10,brancol_2024-03-05_set_10,3/18/2024,Break during hauling 18/03 from 02:39pm  to 02:41pm ,Haul Stop,3/18/2024 14:39:00,3/18/2024 14:41:00,0:02:00
Brancol,3,10,brancol_2024-03-05_set_10,3/18/2024,Break during hauling 18/03  from 04:11pm to 05:06pm.,Haul Stop,3/18/2024 16:11:00,3/18/2024 17:06:00,0:55:00
Brancol,3,11,brancol_2024-03-05_set_11,3/19/2024,Break during hauling : 19/03 between 02:25pm and 02:42pm.,Haul Stop,3/19/2024 14:25:00,3/19/2024 14:42:00,0:17:00
Brancol,3,12,brancol_2024-03-05_set_12,3/22/2024,CAM1 off during the setting. ,No Video,,,
Brancol,3,13,brancol_2024-03-05_set_13,3/25/2024,No video on both cameras the 25/03 at 02:10pm during which there is a FAL catch.,No Video,3/25/2024 14:10:00,,-1089038:10:00
Brancol,3,13,brancol_2024-03-05_set_13,3/25/2024,Presence of a FAD during the catch of the beacon at the end of hauling.,FAD,,,
Brancol,3,14,brancol_2024-03-05_set_14,3/26/2024,Recovery of alive baits in a sea fish tank before setting.,Other,,,
Brancol,3,15,brancol_2024-03-05_set_15,3/29/2024,Cameras off during hauling on 29/03 from 12:50pm and 01:15pm  lunch break and no catch,No Video,3/29/2024 12:50:00,3/29/2024 13:15:00,0:25:00
Brancol,3,15,brancol_2024-03-05_set_15,3/29/2024,"CAM 1 higher than the other FOs, identification more difficult with this camera",Camera Blocked,,,
Brancol,3,15,brancol_2024-03-05_set_15,3/29/2024,Data on the logbook not corresponding with reality of setting and hauling of this fishing operation,Elog Incorrect,,,
Brancol,3,15,brancol_2024-03-05_set_15,3/29/2024,01:15pm lunch break and no catch because start back the hauling at 01:34pm.,Haul Stop,3/29/2024 13:15:00,3/29/2024 13:34:00,0:19:00
Brancol,3,16,brancol_2024-03-05_set_16,3/30/2024,Beginning of the setting not filmed,No Vido,,,
Brancol,3,16,brancol_2024-03-05_set_16,3/30/2024,Fishing with greenstick 1:45pm to 2:14pm,Other Gear,3/30/2024 13:45:00,3/30/2024 14:14:00,0:29:00
Brancol,3,17,brancol_2024-03-05_set_17,3/30/2024,Fishing with greenstick 5:49pm to 6:34pm,Other Gear,3/30/2024 17:49:00,3/30/2024 18:34:00,0:45:00
Brancol,3,18,brancol_2024-03-05_set_18,3/31/2024,Cloth hanged in front of CAM 2 --> catch brought on the vessel from starboard sometimes hidden by the cloth ,Camera Blocked,,,
